id,sensorId,timestamp,chan_0,chan_1
4055291,57226,2021-12-22T22:08:08.000Z,0,0
4055311,57226,2021-12-22T22:09:08.000Z,0,0
4055331,57226,2021-12-22T22:10:08.000Z,0,0
4055351,57226,2021-12-22T22:11:08.000Z,0,0
4055371,57226,2021-12-22T22:12:08.000Z,0,0
4055391,57226,2021-12-22T22:13:08.000Z,0,0
4055411,57226,2021-12-22T22:14:08.000Z,0,0
4055431,57226,2021-12-22T22:15:08.000Z,0,0
4055451,57226,2021-12-22T22:16:08.000Z,0,0
4055471,57226,2021-12-22T22:17:08.000Z,0,0
4055491,57226,2021-12-22T22:18:08.000Z,0,0
4055511,57226,2021-12-22T22:19:08.000Z,0,0
4055531,57226,2021-12-22T22:20:08.000Z,0,0
4056149,57226,2021-12-22T22:54:37.000Z,0,0
4056169,57226,2021-12-22T22:55:37.000Z,0,0
4056189,57226,2021-12-22T22:56:37.000Z,0,0
4056209,57226,2021-12-22T22:57:37.000Z,0,0
4056229,57226,2021-12-22T22:58:37.000Z,0,0
4056249,57226,2021-12-22T22:59:37.000Z,0,0
4056269,57226,2021-12-22T23:00:37.000Z,0,0
4056289,57226,2021-12-22T23:01:37.000Z,0,0
4056309,57226,2021-12-22T23:02:37.000Z,0,0
4056329,57226,2021-12-22T23:03:37.000Z,0,0
4056349,57226,2021-12-22T23:04:37.000Z,0,0
4056369,57226,2021-12-22T23:05:37.000Z,0,0
4056389,57226,2021-12-22T23:06:37.000Z,0,0
4056409,57226,2021-12-22T23:07:37.000Z,0,0
4056429,57226,2021-12-22T23:08:37.000Z,0,0
4056449,57226,2021-12-22T23:09:37.000Z,0,0
4056469,57226,2021-12-22T23:10:37.000Z,0,0
4056489,57226,2021-12-22T23:11:37.000Z,0,0
4056509,57226,2021-12-22T23:12:37.000Z,0,0
4056529,57226,2021-12-22T23:13:37.000Z,0,0
4056549,57226,2021-12-22T23:14:37.000Z,0,0
4056569,57226,2021-12-22T23:15:37.000Z,0,0
4056589,57226,2021-12-22T23:16:37.000Z,0,0
4056609,57226,2021-12-22T23:17:37.000Z,0,0
4056629,57226,2021-12-22T23:18:37.000Z,0,0
4056649,57226,2021-12-22T23:19:37.000Z,0,0
4056669,57226,2021-12-22T23:20:37.000Z,0,0
4056689,57226,2021-12-22T23:21:37.000Z,0,0
4056709,57226,2021-12-22T23:22:37.000Z,0,0
4056729,57226,2021-12-22T23:23:37.000Z,0,0
4056749,57226,2021-12-22T23:24:37.000Z,0,0
4056769,57226,2021-12-22T23:25:37.000Z,0,0
4056789,57226,2021-12-22T23:26:37.000Z,0,0
4056809,57226,2021-12-22T23:27:37.000Z,0,0
4056829,57226,2021-12-22T23:28:37.000Z,0,0
4056849,57226,2021-12-22T23:29:37.000Z,0,0
4056869,57226,2021-12-22T23:30:37.000Z,0,0
4056889,57226,2021-12-22T23:31:37.000Z,0,0
4056909,57226,2021-12-22T23:32:37.000Z,0,0
4056929,57226,2021-12-22T23:33:37.000Z,0,0
4056949,57226,2021-12-22T23:34:37.000Z,0,0
4056969,57226,2021-12-22T23:35:37.000Z,0,0
4056989,57226,2021-12-22T23:36:37.000Z,0,0
4057009,57226,2021-12-22T23:37:37.000Z,0,0
4057029,57226,2021-12-22T23:38:37.000Z,0,0
4057049,57226,2021-12-22T23:39:37.000Z,0,0
4057069,57226,2021-12-22T23:40:37.000Z,0,0
4057089,57226,2021-12-22T23:41:37.000Z,0,0
4057109,57226,2021-12-22T23:42:37.000Z,0,0
4057129,57226,2021-12-22T23:43:37.000Z,0,0
4057149,57226,2021-12-22T23:44:37.000Z,0,0
4057169,57226,2021-12-22T23:45:37.000Z,0,0
4057189,57226,2021-12-22T23:46:37.000Z,0,0
4057209,57226,2021-12-22T23:47:37.000Z,0,0
4057229,57226,2021-12-22T23:48:37.000Z,0,0
4057249,57226,2021-12-22T23:49:37.000Z,0,0
4057269,57226,2021-12-22T23:50:37.000Z,0,0
4057289,57226,2021-12-22T23:51:37.000Z,0,0
4057309,57226,2021-12-22T23:52:37.000Z,0,0
4057329,57226,2021-12-22T23:53:37.000Z,0,0
4057349,57226,2021-12-22T23:54:37.000Z,0,0
4057369,57226,2021-12-22T23:55:37.000Z,0,0
4057389,57226,2021-12-22T23:56:37.000Z,0,0
4057409,57226,2021-12-22T23:57:37.000Z,0,0
4057429,57226,2021-12-22T23:58:37.000Z,0,0
4057449,57226,2021-12-22T23:59:37.000Z,0,0
4057469,57226,2021-12-23T00:00:37.000Z,0,0
4057489,57226,2021-12-23T00:01:37.000Z,0,0
4057509,57226,2021-12-23T00:02:37.000Z,0,0
4057529,57226,2021-12-23T00:03:37.000Z,0,0
4057549,57226,2021-12-23T00:04:37.000Z,0,0
4057569,57226,2021-12-23T00:05:37.000Z,0,0
4057589,57226,2021-12-23T00:06:37.000Z,0,0
4057609,57226,2021-12-23T00:07:37.000Z,0,0
4057629,57226,2021-12-23T00:08:37.000Z,0,0
4057649,57226,2021-12-23T00:09:37.000Z,0,0
4057669,57226,2021-12-23T00:10:37.000Z,0,0
4057689,57226,2021-12-23T00:11:37.000Z,0,0
4057709,57226,2021-12-23T00:12:37.000Z,0,0
4057729,57226,2021-12-23T00:13:37.000Z,0,0
4057749,57226,2021-12-23T00:14:37.000Z,0,0
